name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,wifi,dine_in,takeout,delivery,breakfast,lunch,dinner,vegetarian,coffee,alcohol,beer,casual,family_friendly,tourists,reservations,cash_only,wheelchair_accessible_entrance,source_file,distribution_generated
Diyo Garden Restaurant,Restaurant,Restaurant,"Suryabinayak -6, Bhaktapur 44800, Nepal",Bhaktapur,27.6633774,85.4259391,3.6,5,0,1,2,0,2,91.0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,,0
Aagya wine and dine,Restaurant,Restaurant,"MC7F+6JQ, Suryabinayak 44800, Nepal",Suryabinayak,27.6630991,85.4240961,5.0,1,0,0,0,0,1,0.0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,,0
Samir khaja Ghar,Cafe,Cafe,"MC6G+PF8, Suryabinayak 44800, Nepal",Suryabinayak,27.6617848,85.4261976,0.0,0,0,0,0,0,0,140.0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,0
Everest Momo & Newari Khaja Ghar,Restaurant,Restaurant,"MC7G+PHJ, Suryabinayak 44800, Nepal",Suryabinayak,27.6643784,85.4261986,4.7,3,0,0,0,1,2,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1
Ray Mama's Restro,Restaurant,Restaurant,"Suryabinyak -6 Bhaktapur, Suryabinayak 44800, Nepal",Suryabinayak,27.6626591,85.4259429,0.0,0,0,0,0,0,0,84.0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,,0
Dreamland Kitchen Restaurant,Asian restaurant,Asian restaurant,"MC9G+36Q, Bhaktapur 44800, Nepal",Bhaktapur,27.6677053,85.4255981,5.0,2,0,0,0,1,1,0.0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,,1
Dolakha Khaja Ghar,Restaurant,Restaurant,"Ganesh Temple, Suryabinayak 44800, Nepal",Suryabinayak,27.6628502,85.4259424,0.0,0,0,0,0,0,0,93.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Uttam Dai Ko MoMo,Restaurant,Restaurant,"Jagati, bus stop, Nepal",Bhaktapur,27.6664747,85.438088,4.2,53,0,0,8,28,17,0.0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,,1
Kumpakha khaja ghar & Mini Party palace,Restaurant,Restaurant,"MC7F+682, Suryabinayak 44800, Nepal",Suryabinayak,27.6630064,85.4232512,4.0,1,0,0,0,1,0,98.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Peace Heart Zone,Pizza restaurant,Pizza restaurant,"MC7F+8FX, Suryabinayak 44800, Nepal",Suryabinayak,27.6633687,85.4237219,0.0,0,0,0,0,0,0,98.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Lisankhu Pakhar Daanse Khaja Ghar,Restaurant,Restaurant,"MC7F+2M4, Suryabinayak 44800, Nepal",Suryabinayak,27.6625108,85.4241925,0.0,0,0,0,0,0,0,0.0,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,,0
De Newa Kitchen,Cafe,Cafe,"MC8Q+8GR, Jagati, Bhaktapur, Nepal",Bhaktapur,27.6658536,85.438753,5.0,3,0,0,0,1,2,168.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
Ajima cafe,Restaurant,Restaurant,"MCCG+86V, Bhaktapur 44800, Nepal",Bhaktapur,27.670873,85.4255394,5.0,3,0,0,0,1,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
A-One Fast Food & Chaat Center,Family restaurant,Family restaurant,"MC9H+G6V, Rammandir Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6688119,85.4279565,5.0,1,0,0,0,0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1
D icon Restaurant,Bar,Bar,"Bhaktapur 44800, Nepal",Bhaktapur,27.6723776,85.4384499,5.0,2,0,0,0,1,1,98.0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,,1
Suryabinayak bhaktapur,Bar,Bar,"MC8G+45P, F099, Bhaktapur 44800, Nepal",Bhaktapur,27.66532,85.4254412,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0
D&R Fast Food,Fast food restaurant,Fast food restaurant,"Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6674076,85.4358847,3.6,16,0,1,6,7,2,94.5,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,,1
New enjoy mo: mo: & stick food,Fast food restaurant,Fast food restaurant,"MC8G+98X, Bhaktapur 44800, Nepal",Bhaktapur,27.6659909,85.4258588,0.0,0,0,0,0,0,0,97.22,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,,0
Araniko Khaja Ghar,Fast food restaurant,Fast food restaurant,"बाराहीस्थान-१४, बाराहीस्थान मार्ग, Suryabinayak 44800, Nepal",Suryabinayak,27.6663379,85.4234822,4.1,12,0,0,2,7,3,87.5,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,,1
RajeshDaikoNewariKhajagharराजेश दाईको नेवारी खाजा घर,Fast food restaurant,Fast food restaurant,"MC8F+3JX, Suryabinayak 44800, Nepal",Suryabinayak,27.6652255,85.4241241,0.0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
The marcopolo restaurant,Fast food restaurant,Fast food restaurant,"Taumadhi Square, Bhaktapur 44800, Nepal",Bhaktapur,27.6708871,85.4290875,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Dashinkali everest momo center,Fast food restaurant,Fast food restaurant,"MC8G+M69, गःपलि मार्ग, Bhaktapur 44800, Nepal",Bhaktapur,27.666657,85.425601,4.0,7,0,0,2,4,1,91.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,,1
Aalucha,Fast food restaurant,Fast food restaurant,"Durbar Square, Bhaktapur 44800, Nepal",Bhaktapur,27.6715487,85.4283565,3.9,587,0,12,153,315,107,0.0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,0,1,,1
Bagale Fast Food and Sekuwa Corner,Fast food restaurant,Fast food restaurant,"MC9Q+W4J, Garud Kundal Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6698558,85.4377501,0.0,0,0,0,0,0,0,98.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
The Lazy Lump,Restaurant,Restaurant,"Ram Mandir, Bhulacha Suryabinayal,Near, Bhaktapur, Nepal",Bhaktapur,27.666067,85.4274325,5.0,6,0,0,0,2,4,91.0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,,1
तारा दाईको डुनट पसल,Breakfast restaurant,Breakfast restaurant,"MC9M+366, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6676619,85.4330136,3.3,9,0,1,5,3,0,91.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,,1
AYUSH GHASA CHHE,Asian restaurant,Asian restaurant,"101 Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6652493,85.4270454,0.0,0,0,0,0,0,0,108.5,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,,0
Everest MoMo,Fast food restaurant,Fast food restaurant,"12 Rammandir Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.671336,85.4300794,3.8,123,0,4,37,64,18,66.5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,1
Sukul,Fast food restaurant,Fast food restaurant,"MCCJ+HHJ, Bhaktapur 44800, Nepal",Bhaktapur,27.6714524,85.431381,0.0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Gosain Hotel And Cafe,Fast food restaurant,Fast food restaurant,"MCCH+9WW, Bhaktapur 44800, Nepal",Bhaktapur,27.670994,85.4298429,0.0,0,0,0,0,0,0,168.0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,,0
Kavreli khajaghar,Coffee shop,Coffee shop,"MC9F+JXJ, Unnamed Road, 44800, Nepal",Bhaktapur,27.6690835,85.4248994,5.0,1,0,0,0,0,1,0.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
Sunil tea shop,Coffee shop,Coffee shop,"MCCG+358, भक्तपुर मार्ग, Bhaktapur 44800, Nepal",Bhaktapur,27.6701657,85.4254489,3.9,16,0,0,4,9,3,112.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
Barahi Coffee Shop,Coffee shop,Coffee shop,"MC8C+FV4, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6661498,85.4222161,3.3,12,0,1,6,4,1,98.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
Cosy Cafe,Coffee shop,Coffee shop,"12 Rammandir Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6700737,85.4283216,3.7,3,1,0,0,0,2,144.0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,,0
Kristina Cafe and Coffee Shop,Cafe,Cafe,"MC8F+C2H, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.666073,85.4226171,4.0,4,0,0,1,2,1,105.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
Amity Tea & Coffee Corner,Coffee shop,Coffee shop,"MCCH+436, Pottery Square Road, Bhaktapur 44800, Nepal",Bhaktapur,27.67029,85.42765,3.5,6,1,1,0,2,2,0.0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,,0
Tea shop,Coffee shop,Coffee shop,"4 Bolachhen, Bhaktapur 44800, Nepal",Bhaktapur,27.670376,85.4284829,0.0,0,0,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
Kanxoz Cafe,Coffee shop,Coffee shop,"Bhulancha, 4, Bhulancha, Bhaktapur 44800, Nepal",Bhaktapur,27.6672969,85.426885,0.0,0,0,0,0,0,0,105.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
Yaman Coffee Shop,Coffee shop,Coffee shop,"MC8F+JFX, बाराहीस्थान मार्ग, Bhaktapur 44800, Nepal",Bhaktapur,27.6666191,85.4237202,2.9,7,1,1,4,0,1,105.0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,,0
Bhaktapur Bartending & Barista,Coffee shop,Coffee shop,"Suryabinayak chowk, Bhaktapur 44800, Nepal",Bhaktapur,27.6653251,85.4254639,4.8,24,1,0,0,0,23,66.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,0
YG COFFEE & TRAINING CENTRE,Coffee shop,Coffee shop,"MC8F+9MX, सुर्यविनायक मार्ग, Bhaktapur 44800, Nepal",Bhaktapur,27.6660197,85.4242277,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
Anju Store,Coffee shop,Coffee shop,"MC8F+CG9, गःपलि मार्ग, Suryabinayak 44800, Nepal",Suryabinayak,27.6659972,85.4238661,0.0,0,0,0,0,0,0,98.0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
Bangsagopal,Coffee shop,Coffee shop,"MC9G+RGQ, मंगलाछें मार्ग, Bhaktapur 44800, Nepal",Bhaktapur,27.6695875,85.4263594,3.0,1,0,0,1,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
Suman Tamang Shop,Coffee shop,Coffee shop,"MC8F+JW8, Bhaktapur 44800, Nepal",Bhaktapur,27.666443,85.4248226,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
Momo & Khaja corner,Coffee shop,Coffee shop,"MC8F+5HP, Suryabinayak 44800, Nepal",Suryabinayak,27.665455,85.4239267,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
The 1990 Yummy Laphing & Momo Center,Asian restaurant,Asian restaurant,"बाराही मन्दिर, Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6692533,85.4250107,4.3,247,0,1,30,127,89,77.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,,1
The Burger House And Crunchy Fried Chicken,Restaurant,Restaurant,"MCCC+9MX, Bhaktapur 44800, Nepal",Bhaktapur,27.6710646,85.4217254,5.0,8,0,0,0,2,6,84.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
Unique Khaja Ghar,Nepalese restaurant,Nepalese restaurant,"MC8C+5VP, Bhaktapur 44800, Nepal",Bhaktapur,27.6654513,85.4221887,5.0,2,0,0,0,1,1,0.0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,,1
"Lumbini tandoori bhojanalaya,suryabinayak",Restaurant,Restaurant,"MC8F+57M, Suryabinayak 44800, Nepal",Suryabinayak,27.6654551,85.4231862,5.0,6,0,0,0,2,4,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1
Grill and chill,Chicken restaurant,Chicken restaurant,"MC8F+56H, Bhaktapur 44800, Nepal",Bhaktapur,27.6654456,85.4231215,4.5,10,0,0,1,5,4,87.5,0,1,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,,1
Mo: Mo Shop,Restaurant,Restaurant,"MCCC+G99, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6712938,85.4209804,5.0,3,0,0,0,1,2,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1
Lhosa Chhen,Restaurant,Restaurant,"Bhaktapur 44600, Nepal",Bhaktapur,27.6649091,85.4227092,4.3,9,1,0,0,2,6,98.0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,,0
BARAHI AJIMA NEWARI KHAJA GHAR,Family restaurant,Family restaurant,"MC9G+WJ3, Bhaktapur 44800, Nepal",Bhaktapur,27.6697631,85.426554,5.0,1,0,0,0,0,1,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
times cafe,Cafe,Cafe,"MC8G+W5F, Unnamed Road, Suryabinayak 44800, Nepal",Suryabinayak,27.6673032,85.4254267,4.1,8,0,0,2,4,2,98.0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,,1
Moori De lounge,Cafe,Cafe,"MC8F+C9H, Bhaktapur 44800, Nepal",Bhaktapur,27.666067,85.4234754,5.0,1,0,0,0,0,1,0.0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,,1
Ramailo MOMO,Momo restaurant,Momo restaurant,"MC8F+5RX, Araniko Highway, Suryabinayak 44800, Nepal",Suryabinayak,27.6654899,85.4246151,4.3,7,1,0,0,1,5,84.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Just Chill Restaurant,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6652904,85.4224034,0.0,0,0,0,0,0,0,90.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Delhi Alkarim Biryani and Fast Food,Asian restaurant,Asian restaurant,"MC9H+F5W, Durbar Square Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6687485,85.4279453,4.2,6,0,1,1,0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
LAFANGAZ Cafe,Restaurant,Restaurant,"Bharwacho, Bhaktapur 44800, Nepal",Bhaktapur,27.6711233,85.4234664,0.0,0,0,0,0,0,0,106.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Nimto MoMo Naan & Stick Food House,Restaurant,Restaurant,"MC8G+477, F099, Suryabinayak 44800, Nepal",Suryabinayak,27.6652775,85.4256796,0.0,0,0,0,0,0,0,78.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0
The Momo Factory,Restaurant,Restaurant,"Suryabinayak 44800, Nepal",Suryabinayak,27.6653663,85.4262875,2.3,4,2,1,0,0,1,90.5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Suryabinayak Burger House & Crunchy Fried Chicken,Restaurant,Restaurant,"MC8G+M7C, Suryabinayak 44800, Nepal",Suryabinayak,27.6666969,85.4256377,1.7,14,10,0,2,2,0,84.0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,,0
Mangalachhen,Family restaurant,Family restaurant,"MC9G+RGQ, मंगलाछें मार्ग, Bhaktapur 44800, Nepal",Bhaktapur,27.6697682,85.426547,0.0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Hypnotize restro,Restaurant,Restaurant,"101 Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6664092,85.4205994,0.0,0,0,0,0,0,0,91.0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,,0
Luthabu,Family restaurant,Family restaurant,"MC8H+22G, Suryabinayak 44800, Nepal",Suryabinayak,27.6650513,85.4275729,0.0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Barahi Liquors,Bar,Bar,"Bansagopal, Bhaktapur 44800, Nepal",Bhaktapur,27.671011,85.4257652,5.0,1,0,0,0,0,1,0.0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,,1
Bhaktapur,Restaurant,Restaurant,"MCCG+86R, Bhaktapur 44800, Nepal",Bhaktapur,27.6708782,85.425545,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
bishnu mo m,Restaurant,Restaurant,"MC9H+P6H, Rammandir Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6693229,85.4281027,0.0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Classic Burger & Stick Food Service,Restaurant,Restaurant,"MC9H+Q59, Bhaktapur 44800, Nepal",Bhaktapur,27.6694417,85.428121,0.0,0,0,0,0,0,0,77.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0
Pride food cafe,Restaurant,Restaurant,"MC8G+666 ढोलेश्वोर महादेव बस बिसौनी, Suryabinayak 44800, Nepal",Suryabinayak,27.6655255,85.4255009,0.0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,,0
New Vishnu Mo Mo Center,Dumpling restaurant,Dumpling restaurant,"MCCF+53X, Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6704939,85.4227322,0.0,0,0,0,0,0,0,0.0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,,0
Sasto mitho khaja ghar,Restaurant,Restaurant,"MC8C+4XF Sasto mitho khaja ghar, Suryabinayak 44800, Nepal",Suryabinayak,27.6653184,85.4224212,0.0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
New City Top Rakesh Special Panipuri House,Restaurant,Restaurant,"MC9G+2G8, Suryabinayak 44800, Nepal",Suryabinayak,27.6675754,85.4263916,0.0,0,0,0,0,0,0,73.5,0,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,,0
Malla's Kitchen,Cafe,Cafe,"MC8G+VM9, 27°40'01.3, 25'36.7""E N 85°, Bhaktapur 44800, Nepal",Bhaktapur,27.6670549,85.4268318,5.0,4,0,0,0,0,4,98.0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,,0
Bhajyapukhu Cafe Outlet,Cafe,Cafe,"MC9G+2JP, Suryabinayak 44800, Nepal",Suryabinayak,27.6675974,85.4265822,5.0,1,0,0,0,0,1,84.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
The zeroth cafe and fast food,Cafe,Cafe,"MC9H+M64, Rammandir Rd, Bhaktapur 44800, Nepal",Bhaktapur,27.6691349,85.4280808,5.0,6,0,0,0,0,6,91.0,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,,0
Purbeli chiya pasal,Fast food restaurant,Fast food restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.6714331,85.4229092,5.0,5,0,0,0,1,4,97.5,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,1,,1
Laphing Hut,Cafe,Cafe,"Ram Mandir, Tourism Market, Suryabinayak 44800, Nepal",Suryabinayak,27.6676166,85.4264276,5.0,1,0,0,0,0,1,49.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
Akarshan Cafe,Cafe,Cafe,"MC7F+PWH, Suryabinayak 44800, Nepal",Suryabinayak,27.6643186,85.4248565,3.2,6,1,1,1,2,1,77.0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,0,,0
Duwal Wireless,Cafe,Cafe,"MCCF+F9Q, Bhaktapur 44800, Nepal",Bhaktapur,27.6712216,85.4234705,4.0,2,0,0,1,0,1,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
JYO JYO CAFE Pvt.Ltd.☕️,Cafe,Cafe,"6 Laxmi Market, Bhaktapur 44800, Nepal",Bhaktapur,27.6643982,85.4256247,0.0,0,0,0,0,0,0,0.0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
The Vibevault & ChiyaKhana,Cafe,Cafe,"Bhaktapur 44800, Nepal",Bhaktapur,27.6668872,85.4259959,0.0,0,0,0,0,0,0,84.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
Khadka Restro,Cafe,Cafe,"MCC8+38C, Bhaktapur 44800, Nepal",Bhaktapur,27.6701931,85.415751,2.0,3,1,1,1,0,0,87.5,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
Hotel White House,Restaurant,Restaurant,"Suryabinayak 44800, Nepal",Suryabinayak,27.6622144,85.4225893,4.0,50,3,5,10,4,28,168.0,0,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,,0
MOMO CAFE,Coffee shop,Coffee shop,"MCF3+9JH, Srijananagar, Bhaktapur, Nepal",Bhaktapur,27.67344,85.4041116,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
Local house,Coffee shop,Coffee shop,"MCF3+5H3, Shirjanagar, Bhaktapur, Nepal",Bhaktapur,27.6728868,85.4039087,0.0,0,0,0,0,0,0,94.5,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
Creative Burger & Pasta House,Restaurant,Restaurant,"Bhaktapur 44800, Nepal",Bhaktapur,27.672397,85.4051819,4.8,105,0,0,4,37,64,98.0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,,1
Good Mood Food Cafe,Restaurant,Restaurant,"MCC4+X33, Bhaktapur 44800, Nepal",Bhaktapur,27.6723939,85.4051633,3.6,29,0,2,11,13,3,84.0,0,1,1,0,1,1,1,0,1,1,1,1,0,0,0,0,0,,1
bhaktapur srijanagar,Bar,Bar,"MCF4+H4G, srijananagar, Bhaktapur, Nepal",Bhaktapur,27.6739329,85.4053391,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0
Nauni Ghiu Biryani Restro And Bar,Restaurant,Restaurant,"MCF4+F22, Sirjana nagar, Bhaktapur 44800, Nepal",Bhaktapur,27.6736257,85.4050284,0.0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,,0
Firewood Sekuwa Palace N Thakali,Restaurant,Restaurant,"MCF3+8FV, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6733771,85.4036604,4.0,54,9,1,5,7,32,98.0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,0,0,,0
Antarikshya Stick Food,Fast food restaurant,Fast food restaurant,"MCF3+PV7, Bhaktapur 44800, Nepal",Bhaktapur,27.6742943,85.4046743,0.0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Bishal Momo,Momo restaurant,Momo restaurant,"Kathmandu 44600, Nepal",Kathmandu,27.6733609,85.4051482,4.4,103,4,4,9,20,66,38.0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,,0
AD-hose,Coffee shop,Coffee shop,"Bhaktapur, Nepal",Bhaktapur,27.6692427,85.4052233,0.0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
Rajan Khunju,Coffee shop,Coffee shop,"MC84+H5W, Suryabinayak, Nepal",Suryabinayak,27.665405,85.404719,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
chi’s sweet home,Coffee shop,Coffee shop,"Suryabinayak-5, Nepal",Suryabinayak,27.6680311,85.4067485,0.0,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
Ningleku House,Assamese restaurant,Assamese restaurant,"dsad 44800, Nepal",dsad,27.6701266,85.4026572,5.0,1,0,0,0,0,1,24.0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0,,1
Hamro Khaja Junction,Fast food restaurant,Fast food restaurant,"MC93+8PF, Suryabinayak 5, Nepal",Suryabinayak,27.668302,85.404303,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Subechhya Restaurant,Family restaurant,Family restaurant,"MCF3+7GV, Srijananagar, Bhaktapur, Nepal",Bhaktapur,27.6732465,85.4037988,0.0,0,0,0,0,0,0,0.0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,0
Shandaar Mo:Mo,Cafe,Cafe,"MC96+R9V, Suryabinayak 44800, Nepal",Suryabinayak,27.6696249,85.4109317,5.0,1,0,0,0,0,1,0.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
bakhunchhe house,Cafe,Cafe,"MC83+HJQ, Suryabinayak 44800, Nepal",Suryabinayak,27.6664503,85.4040677,0.0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0
Bijay Coffee Shop,Cafe,Cafe,"MC8P+M94, Bhaktapur 44800, Nepal",Bhaktapur,27.6666304,85.4359586,4.0,5,0,0,1,3,1,95.43,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
Jagati hanumanghat Road,Coffee shop,Coffee shop,"MC9M+4VC, Bhaktapur 44800, Nepal",Bhaktapur,27.6669539,85.4363544,0.0,0,0,0,0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,0
Underground Gamers Cafe,Cafe,Cafe,"MC9M+35M, Araniko Highway, Bhaktapur 44800, Nepal",Bhaktapur,27.6677098,85.4329235,4.0,2,0,0,1,1,0,0.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,1
Subin Cafe,Cafe,Cafe,"MCCQ+PP3, Bhaktapur 44800, Nepal",Bhaktapur,27.6717718,85.4393062,3.2,23,0,3,12,7,1,108.5,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,,1
