name,main_category,category,address,city,lat,lng,rating,reviews_count,reviewsDistribution_oneStar,reviewsDistribution_twoStar,reviewsDistribution_threeStar,reviewsDistribution_fourStar,reviewsDistribution_fiveStar,weekly_hours,wifi,dine_in,takeout,delivery,breakfast,lunch,dinner,vegetarian,coffee,alcohol,beer,casual,family_friendly,tourists,reservations,cash_only,wheelchair_accessible_entrance,phone,price,rank,place_id,imageUrl,address,additionalInfo_Amenities_Restroom,url
BC Fast Foodl,Barbecue restaurant,Barbecue restaurant,"MC8G+3WM, Suryabinayak 44800, Nepal",Suryabinayak,27.6652101,85.4272984,4.4,10,0,0,1,5,4,91,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,,14,ChIJSVg7gaga6zkRteeXglhdhAc,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3ZzpZThgz-5DGLJ0y1AfSQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=190.61497&pitch=0&thumbfov=100,"MC8G+3WM, Suryabinayak 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=BC%20Fast%20Foodl&query_place_id=ChIJSVg7gaga6zkRteeXglhdhAc
BDS Restaurant and Kimchi Jhol momo,Fast food restaurant,Fast food restaurant,"M99P+M7M, Anantalingeshwar, Nepal",Anantalingeshwar,27.6692062,85.3856611,4.3,12,0,0,3,2,4.3,54,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,,,14,ChIJt-DCj8gb6zkR8APptpx-7vM,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzk5JS4y2sbL0TY4ymnJ7K6EbnfsTKGZ2qzwElCRWAGcrKpiS85dhLbYynpJzKqOtBmoX10gGLskG3YEQ-_r0a1QimV_trDtd8ilTRk7Hv1c_QQzkp8IfEIGwFpQ7EtVURQcnCR=w408-h306-k-no,"M99P+M7M, Anantalingeshwar, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=BDS%20Restaurant%20and%20Kimchi%20Jhol%20momo&query_place_id=ChIJt-DCj8gb6zkR8APptpx-7vM
Beans - The Coffee shop,Coffee shop,Coffee shop,"Ram Devi Complex, Suryabinayak 44800, Nepal",Suryabinayak,27.6672465,85.4260279,5,1,0,0,0,0,1,94.5,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,,,10,ChIJTyCuhhob6zkRrVvjIYXZdIE,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwpxOY3zfBaeBK-EviSYCKG5mLSZc47r3c2SLKgl3NR0nhqTD83mlr2K1xg02sJgPYeyBPbAA_S0ew3JW8q2mHpTjon3VZKGaPq-pQ-BHku6LziRSvLFrUu_HtGUQQI_uAOTKDXSA=w408-h306-k-no,"Ram Devi Complex, Suryabinayak 44800, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=Beans%20-%20The%20Coffee%20shop&query_place_id=ChIJTyCuhhob6zkRrVvjIYXZdIE
Beeburger And Real Kitchen,Restaurant,Restaurant,"Chardobato, Bhaktapur 44600, Nepal",Bhaktapur,27.6737832,85.379333,4.2,18,2,2,0,1,4.2,98,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,0,+977 976-6896816,,15,ChIJR6IZymsb6zkRsyGcyninckQ,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxAVwSQUUCJczISlp-fFnTD60Sf_FFW0CV6Okk9qt6xX0uRM8no5vDwS7bKY7_-NpMp0GVtWlMfbEvmudYpvl8FfMVJP2Sq1uzPpF8dTciW5bik1L9iyQ5MJYhXsEMhP1BtYYWgmg=w442-h240-k-no,"Chardobato, Bhaktapur 44600, Nepal",,https://www.google.com/maps/search/?api=1&query=Beeburger%20And%20Real%20Kitchen&query_place_id=ChIJR6IZymsb6zkRsyGcyninckQ
Beli's Bread n cake station,Bakery,Bakery,"MCM6+QM4, Sallaghari- Duwakot Rd, Changunarayan, Nepal",Changunarayan,27.684394,85.4117026,3.9,27,0,3,10,2,3.9,105,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+977 985-1171733,,9,ChIJ6T8vXdYb6zkRKYGBVc-DHJY,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyIv1qzPz62UuDf-oMmCA2Cm-_ShDm41OhPXYmcToDQX0-sdxvGF4fvyELBzwDvbb6N_V1SiMMDPAT9PyiCxiWi-mixbFrdNN30NRdc8lHN4VKi3miTegRQWWcbMGGEamCCmrQp=w408-h364-k-no,"MCM6+QM4, Sallaghari- Duwakot Rd, Changunarayan, Nepal",,https://www.google.com/maps/search/?api=1&query=Beli's%20Bread%20n%20cake%20station&query_place_id=ChIJ6T8vXdYb6zkRKYGBVc-DHJY
Belis Bakery,Coffee shop,Coffee shop,"Hospital, Thimi-Biruwa Rd, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.6720391,85.3878463,3.3,43,0,5,21,15,2,101.5,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,+977 984-3687565,,17,ChIJmc6URMob6zkRj9_U9Bpn_Rc,https://lh3.googleusercontent.com/p/AF1QipOsQ4qwUTnm9gWE2qiEVzcCS6C7qEjioCV8mPJG=w408-h544-k-no,"Hospital, Thimi-Biruwa Rd, Madhyapur Thimi 44800, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=Belis%20Bakery&query_place_id=ChIJmc6URMob6zkRj9_U9Bpn_Rc
Belli The Fine Dine,Restaurant,Restaurant,"M9FM+5CP, Sankhdhar Chowk, 44800, Nepal",Madhyapur Thimi,27.6729575,85.3835842,3.8,25,0,2,11,3,3.8,112,0,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,+977 1-6637822,,18,ChIJRUut028a6zkRBzEYlBD3f6I,https://lh3.googleusercontent.com/gps-proxy/ALd4DhFb-moi3PAzwKbiIxuNovp_G4MmJqIuX8t9yqT5pSN0aEE4K9MiGXnb49DezP1PfYNWTyo1RY7p0evuwNy7nHiuwFaxtBL3qY6cjzThCnOQXE6SKekmhfAMPmWeHFZd3MBo2eSe1HAIuszx243aCYYKYDgrzeBXIbQpjhCNkfKrNtW22T4aIM4B-DCRa_kqYmVyJQ=w408-h306-k-no,"M9FM+5CP, Sankhdhar Chowk, 44800, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=Belli%20The%20Fine%20Dine&query_place_id=ChIJRUut028a6zkRBzEYlBD3f6I
Best Kuboos Rolls & Restro,Restaurant,Restaurant,"Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.6731679,85.3867754,3.8,16,0,5,2,1,3.8,85.5,0,1,0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,+977 984-7490263,,34,ChIJh0Y-e6sb6zkRuZM294pAYxk,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwRfNmStjoY94-C56xLX6B0DepXlDYsXJXhGMmKL79AdeLryacjhuQe9lK29EKmMTyx48GKJNy9-H50Id_sScJFA2gVOqwjP5LKUFdbmTAIF2MoZENCtnB5EkmsMhqrwkCt-9w=w408-h544-k-no,"Madhyapur Thimi 44800, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=Best%20Kuboos%20Rolls%20%26%20Restro&query_place_id=ChIJh0Y-e6sb6zkRuZM294pAYxk
Bhadgaun cake factory,Bakery,Bakery,"MF24+Q5Q, Bhaktapur, Nepal",Bhaktapur,27.6519635,85.4554825,4.2,25,0,0,5,11,4.2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,23,ChIJha_RPQAP6zkRnH5PJvK92nM,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zACkqTiMpFof1niwVvNaIg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=289.46378&pitch=0&thumbfov=100,"MF24+Q5Q, Bhaktapur, Nepal",,https://www.google.com/maps/search/?api=1&query=Bhadgaun%20cake%20factory&query_place_id=ChIJha_RPQAP6zkRnH5PJvK92nM
"Bhadrakali Snooker,pool,Cafe and Hookah",Breakfast restaurant,Breakfast restaurant,"MCCF+94J, Bhaktapur 44800, Nepal",Bhaktapur,27.6709669,85.4227737,4.9,13,0,0,0,4,9,98,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,+977 982-8885904,,18,ChIJ4z9zPQ0b6zkRdC2H7rkooW0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyVk5pE-IOiDngmM0fOcR57yMIYoTWBFNkP4fi3K1vt6G4jxC9HNydrtQqqANN2s1FB7lp8WXdDWJzy-_vN-6TsbNgimqENCP7Q5z-zCHv6x9GKNBd4io8D-CwWWMbAj2WkO10S=w408-h306-k-no,"MCCF+94J, Bhaktapur 44800, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=Bhadrakali%20Snooker%2Cpool%2CCafe%20and%20Hookah&query_place_id=ChIJ4z9zPQ0b6zkRdC2H7rkooW0
Bhairav Hotel,Restaurant,Restaurant,"M9HP+M9G, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.679197,85.3859545,3.4,22,1,4,9,2,3.4,115.5,0,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,+977 1-6637777,,11,ChIJYRavp2ga6zkREyWnsJL1bTk,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz4uYgngwk9WvEQ2OvphgcurRO7IjWdCpCZ1k0Jj4nXRnLYMidDp8hWUaVbF9sxGNjyOJXq6XDJQ2ohjAnmtiEET2pcUjLZNKj1wS8_nNrcb5t8AHJVDJrF2N47Zu4XmyXCdQry=w408-h544-k-no,"M9HP+M9G, Madhyapur Thimi 44600, Nepal",,https://www.google.com/maps/search/?api=1&query=Bhairav%20Hotel&query_place_id=ChIJYRavp2ga6zkREyWnsJL1bTk
Bhajya Pukhu Coffee,Coffee shop,Coffee shop,"Nagarkot Road, Bhaktapur 44800, Nepal",Bhaktapur,27.6712812,85.4211715,4,1,0,0,0,1,0,91,0,1,1,0,1,0,0,0,1,0,0,1,0,1,1,1,0,+977 985-1199299,,14,ChIJi1ZOcKMa6zkRZ_56LeMtXQ4,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwO2u8P0S4M86un_ElvvD3cSivmKOWDEl2lkGHx2_OLhAaOC_lBp4dAnCnVMD-fYJxjRhYDAHUrQlblsdKWxAj4JNgjja183TDrIEXQOJKCLCdPso5EgreWJapv2R4qe04cqirU=w408-h306-k-no,"Nagarkot Road, Bhaktapur 44800, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=Bhajya%20Pukhu%20Coffee&query_place_id=ChIJi1ZOcKMa6zkRZ_56LeMtXQ4
Bhajyapukhu Cafe Outlet,Cafe,Cafe,"MC9G+2JP, Suryabinayak 44800, Nepal",Suryabinayak,27.6675974,85.4265822,4.9,163,0,0,4,52,107,84,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,35,ChIJ4QeeamEb6zkR53LQ9ctDIAc,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzCtq_c_lWNq7l9tQQg0_2ZC4bGF-U4zcUwwvc_nHl78nQp9oZFzkUdrQ_SEmSxZ4ARmvmIP9HL5TkfH8CwwAczalQCZYMnqu_9_UdT-gs5YhaGHSm2byXuHtZr6dxL1PuGhp8=w408-h306-k-no,"MC9G+2JP, Suryabinayak 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=Bhajyapukhu%20Cafe%20Outlet&query_place_id=ChIJ4QeeamEb6zkR53LQ9ctDIAc
Bhakta,Fast food restaurant,Fast food restaurant,"MCFW+WC3, Bhaktapur 44800, Nepal",Bhaktapur,27.6747541,85.4460334,4.7,10,0,0,0,4,6,70,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,+977 981-4760548,,32,ChIJtX0OUwAF6zkRA1A7SGtdMRw,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CbYDOTyab5149c0leo84bA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=221.50047&pitch=0&thumbfov=100,"MCFW+WC3, Bhaktapur 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=Bhakta&query_place_id=ChIJtX0OUwAF6zkRA1A7SGtdMRw
Bhaktapur,Restaurant,Restaurant,"MCCG+86R, Bhaktapur 44800, Nepal",Bhaktapur,27.6708782,85.425545,5,1,0,0,0,0,1,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,63,ChIJ3QjsUAAb6zkRRmcojnOPU1U,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=bXqFtpxzcpHeC-Xd2p0p8Q&cb_client=search.gws-prod.gps&w=408&h=240&yaw=283.6415&pitch=0&thumbfov=100,"MCCG+86R, Bhaktapur 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=Bhaktapur&query_place_id=ChIJ3QjsUAAb6zkRRmcojnOPU1U
Bhaktapur,Cafe,Cafe,"MCGR+6WV, Bhaktapur 44800, Nepal",Bhaktapur,27.675625,85.4422873,5,13,0,0,0,4,9,133,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,+977 984-7778653,,15,ChIJyVtzdAAF6zkR1pDfIiDQxl4,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=067z-sP1EaC0Zi2FUymgag&cb_client=search.gws-prod.gps&w=408&h=240&yaw=281.03668&pitch=0&thumbfov=100,"MCGR+6WV, Bhaktapur 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=Bhaktapur&query_place_id=ChIJyVtzdAAF6zkR1pDfIiDQxl4
Bhaktapur Bartending & Barista,Coffee shop,Coffee shop,"Suryabinayak chowk, Bhaktapur 44800, Nepal",Bhaktapur,27.6653251,85.4254639,3.7,86,0,3,30,43,10,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,+977 981-8843645,,41,ChIJLX6J-QUb6zkRA5HVrfuo7Ig,https://lh3.googleusercontent.com/p/AF1QipN07BaimeBJ8Ffy3fF1jFSyptlZXnFhWtZ936DJ=w408-h544-k-no,"Suryabinayak chowk, Bhaktapur 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=Bhaktapur%20Bartending%20%26%20Barista&query_place_id=ChIJLX6J-QUb6zkRA5HVrfuo7Ig
Bhaktapur Dairy And Coffee Shop,Cafe,Cafe,"MC89+F7X, Bhaktapur 44800, Nepal",Bhaktapur,27.666245,85.4182367,3.4,21,0,2,10,8,1,112,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,+977 984-9944644,,18,ChIJp0NalaEa6zkR3dsJ4q47UVY,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx_3vMSDC5ZrsHG_mNqbAr4A-4ZUsdTUUD7vU4PgrWvvGgUH815v6xSReR0Jnnl4YAZHZ_o_pe-6s1wwDLdNzMU1k-yFVwrAPQF27VklUiqowxn3mG08WTV2PHfLDWqp4LpEaIN=w408-h544-k-no,"MC89+F7X, Bhaktapur 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=Bhaktapur%20Dairy%20And%20Coffee%20Shop&query_place_id=ChIJp0NalaEa6zkR3dsJ4q47UVY
bhaktapur juju dhu pasal.,Restaurant,Restaurant,"MCFJ+5J9, Bhaktapur 44800, Nepal",Bhaktapur,27.6729218,85.4315966,5,1,0,0,0,0,1,77,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,+977 984-1237184,,48,ChIJXcYpEq4a6zkRaWr5vi1As38,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwnPVhxmjvq5PLLg0IqHfRSdOG5K8e8aKvNt4m9IRc2zrJ1dbeew8xTCFCAKX146w9ML7jPQ1c1GPbYV-Gh-fht6G3vQT3YycUKq-vg7hWR0xHT1jbmXdt1lezf32ZCxiBctwtkv6XzceU=w408-h544-k-no,"MCFJ+5J9, Bhaktapur 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=bhaktapur%20juju%20dhu%20pasal.&query_place_id=ChIJXcYpEq4a6zkRaWr5vi1As38
Bhaktapur Khaja Ghar,Restaurant,Restaurant,"M9MQ+MQ4, Hulak Road, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6841275,85.3894429,4,17,1,1,1,8,4,91,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,+977 984-1430833,,37,ChIJneo3sVUb6zkR2w2o23nwbls,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=8TkIFtkxLTOqICCTtz2a_A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=256.91458&pitch=0&thumbfov=100,"M9MQ+MQ4, Hulak Road, Madhyapur Thimi 44600, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=Bhaktapur%20Khaja%20Ghar&query_place_id=ChIJneo3sVUb6zkR2w2o23nwbls
Bhaktapur King Curd,Cafe,Cafe,"MCCG+WR6, Bhaktapur 44800, Nepal",Bhaktapur,27.6722945,85.4270212,3.6,16,0,1,6,7,2,94.5,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,+977 986-1207824,,18,ChIJrZ_ny4Yb6zkRl8fLFrCub74,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxSBXJjvECeXeT-pITcKFI4BVPJQGjaEP2I_wKgmw47L7hY-_ML1ChgXoZxnISdbJDgQAg_TmQgeDT3qxCVJ92Z7ljV-rVGEZDK71yGaULl91Yw9B-eF0piYXyVydBEn_UlW5QfJA=w408-h544-k-no,"MCCG+WR6, Bhaktapur 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=Bhaktapur%20King%20Curd&query_place_id=ChIJrZ_ny4Yb6zkRl8fLFrCub74
bhaktapur nepal,Bar,Bar,"MCC5+M4H, Bhaktapur 44800, Nepal",Bhaktapur,27.6716863,85.4078543,5,2,0,0,0,1,1,77,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,,3,ChIJV1ueTQAb6zkR8ofJbwqYSzw,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jjDRjWll7sqeh6w2VFgWJg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=221.16353&pitch=0&thumbfov=100,"MCC5+M4H, Bhaktapur 44800, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=bhaktapur%20nepal&query_place_id=ChIJV1ueTQAb6zkR8ofJbwqYSzw
Bhaktapur newari khaza ghar,Restaurant,Restaurant,"MCM6+VCJ, Rudraksha Rd, Changunarayan, Nepal",Changunarayan,27.6847054,85.4110257,3.4,22,1,6,6,2,3.4,77,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,5,ChIJy_d3PHwb6zkRWOeKb55iW90,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSy6PEdYyGDkLY7e8Ylfx1yeXjxgjejDWIXAQMJxLwOjYo1PrlP7aRsyZt2TGSeoM010byl8AF2pobvQeKq9wA5dRrFu95V6PtDbCYlS40MSwEX3tuW4VzXfjZMkO1jL2RSKaoku=w408-h544-k-no,"MCM6+VCJ, Rudraksha Rd, Changunarayan, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=Bhaktapur%20newari%20khaza%20ghar&query_place_id=ChIJy_d3PHwb6zkRWOeKb55iW90
bhaktapur srijanagar,Bar,Bar,"MCF4+H4G, srijananagar, Bhaktapur, Nepal",Bhaktapur,27.6739329,85.4053391,5,6,0,0,0,2,4,105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,,5,ChIJj0i_KgAb6zkRHeYzHgocrFc,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7BXfHXOcBu3kPbGCLr-ZwA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=321.58795&pitch=0&thumbfov=100,"MCF4+H4G, srijananagar, Bhaktapur, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=bhaktapur%20srijanagar&query_place_id=ChIJj0i_KgAb6zkRHeYzHgocrFc
Bhansa Ghar,Breakfast restaurant,Breakfast restaurant,"M9FP+66P, Madhyapur Thimi, Nepal",Madhyapur Thimi,27.6730011,85.3856447,4.3,21,0,0,4,7,4.3,105,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,,,16,ChIJJW0EMrkb6zkR1XWLsOLvSv0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxo7mr1UVru3lofnbl9HejHkB5DdrZx9CO9HNHA0mAb_ewPBxZFBifc1yTm_eD-BgyNu4ymguzGDoMHn2NMRxYqDqgGeNrF97YIcieiIY03azYgBq3KO2-gT8LjCAWiHTQHQh4=w408-h544-k-no,"M9FP+66P, Madhyapur Thimi, Nepal",,https://www.google.com/maps/search/?api=1&query=Bhansa%20Ghar&query_place_id=ChIJJW0EMrkb6zkR1XWLsOLvSv0
bhanye,Coffee shop,Coffee shop,"MCFW+X95, Bhaktapur 44800, Nepal",Bhaktapur,27.6748627,85.4459376,5,2,0,0,0,1,1,70,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,14,ChIJNcv31a0F6zkRdR3c-gGNskY,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_JH7Lz3oZQEOYh1BSwPqnA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=254.68987&pitch=0&thumbfov=100,"MCFW+X95, Bhaktapur 44800, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=bhanye&query_place_id=ChIJNcv31a0F6zkRdR3c-gGNskY
Bhatapur rada krishana,Bed & breakfast,Bed & breakfast,"MC4J+HXJ, Suryabinayak, Nepal",Suryabinayak,27.6565342,85.4323974,3.9,30,0,0,7,20,3.9,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21,ChIJY8UuZ-kR6zkRcu2O3YugHTg,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5TVNF8cM5RgjmeJG10cx2g&cb_client=search.gws-prod.gps&w=408&h=240&yaw=259.20444&pitch=0&thumbfov=100,"MC4J+HXJ, Suryabinayak, Nepal",,https://www.google.com/maps/search/?api=1&query=Bhatapur%20rada%20krishana&query_place_id=ChIJY8UuZ-kR6zkRcu2O3YugHTg
Bhatbhateni Food Park (Bhaktapur),Restaurant,Restaurant,"Bhaktapur, Nepal",Bhaktapur,27.6750698,85.397268,3.1,18,0,8,5,1,3.1,73.5,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,,55,ChIJlR1TcgAb6zkR8VM-WgzRnQg,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzTsfb_1bUcfktFVUKXh0r50A7vrlUvDJuhUz4QDfc9SaiMkQf0IOE_4IeTbVMIO-N-2gJdu131GMcRBzpFd5ZQD8CAwMDOAuqwkuo3WTDKBwzv0KIdhMkXJ9k2iICJH5gKrAn7G-V4J75F=w408-h306-k-no,"Bhaktapur, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=Bhatbhateni%20Food%20Park%20(Bhaktapur)&query_place_id=ChIJlR1TcgAb6zkR8VM-WgzRnQg
Bhetghat Cafe And Restro,Cafe,Cafe,"Kageshwori Manohara 44600, Nepal",Kageshwori Manohara,27.700689,85.3761218,5,2,0,0,0,1,1,92,0,1,1,0,1,1,1,0,1,1,1,1,0,0,1,0,0,+977 984-9544200,$$,9,ChIJOXuc5Eka6zkRUVtC8FYgPy4,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxUnuUYksekI6B-2qUwaN1P5MIt1_mjO0YRJw4-U4IvrSnPBu8mYpeAdJzIkL9DTEXKsUNTBZJg21ZTPsy5bKz-ORx9qwfqI2v3ze9gW2MiIJchaJBiKK1K_C8dTlNyWfHPsZzivQ=w408-h883-k-no,"Kageshwori Manohara 44600, Nepal",,https://www.google.com/maps/search/?api=1&query=Bhetghat%20Cafe%20And%20Restro&query_place_id=ChIJOXuc5Eka6zkRUVtC8FYgPy4
Bhetghat Sekuwa Station,Restaurant,Restaurant,"M9F7+7XM, Hanumante Chowk Bus Stop, F091, Madhyapur Thimi 44600, Nepal",Madhyapur Thimi,27.6732102,85.3649158,4.2,15,0,1,2,5,4.2,84,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,0,+977 982-3455329,,80,ChIJvcf_tOMb6zkRe4iS1Xavme0,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSz7qTQj4uOPzBFqafnDBo2y4AxZ2vnEg1bkkvLAqCUVf3yDMs2LjVi0LZDdcusuSUSChyRFG-FW-tEAMJi1i8xj6eusWUbjI0jrc14lc2K-1YM_Z2PvpDAiK9yH0Kog7ebBgGiwkA=w426-h240-k-no,"M9F7+7XM, Hanumante Chowk Bus Stop, F091, Madhyapur Thimi 44600, Nepal",,https://www.google.com/maps/search/?api=1&query=Bhetghat%20Sekuwa%20Station&query_place_id=ChIJvcf_tOMb6zkRe4iS1Xavme0
Bhimeshwor Mo:Mo & Chinese Stick House,Restaurant,Restaurant,"Araniko Highway, Madhyapur Thimi 44800, Nepal",Madhyapur Thimi,27.6726938,85.3853502,3.6,19,1,2,7,3,3.6,78.5,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,+977 984-1977537,,6,ChIJazJ2Md4b6zkReyhffOicew8,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzAGCrcgnx_9N1VMFsT6a_NE5IwAdcCIDHbq_WCEE_Hg9dslSEizCjEVEh8lJ61pMRywcNQrMS6r5AhqT4PrlLG_mcvWkK0gVHVOuus631tuVy81D5dS9MN4UDrTztLYX5TLfQ=w408-h545-k-no,"Araniko Highway, Madhyapur Thimi 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=Bhimeshwor%20Mo%3AMo%20%26%20Chinese%20Stick%20House&query_place_id=ChIJazJ2Md4b6zkReyhffOicew8
Bhintuna food cafe,Restaurant,Restaurant,"Kamalpokhari Path, Bhaktapur 44800, Nepal",Bhaktapur,27.675825,85.4381791,5,1,0,0,0,0,1,101.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,+977 984-9179821,,2,ChIJxZrVYQAF6zkR_3jmiPCJmFU,https://lh3.googleusercontent.com/p/AF1QipMcH3h1HpRnD0wTB2vCowclNOG6bHRaTm_DbvIJ=w408-h544-k-no,"Kamalpokhari Path, Bhaktapur 44800, Nepal",TRUE,https://www.google.com/maps/search/?api=1&query=Bhintuna%20food%20cafe&query_place_id=ChIJxZrVYQAF6zkR_3jmiPCJmFU
Bijay Coffee Shop,Cafe,Cafe,"MC8P+M94, Bhaktapur 44800, Nepal",Bhaktapur,27.6666304,85.4359586,4.5,56,0,0,4,26,26,95.43,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,,,2,ChIJNchGE6sa6zkR9m5t7s5fGa4,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwGSqsWJn9BrwjkItucTfYx1fzXxXJTAp3G4aAsmBPum-n1cswyNFTBluQWkXA4SlhqsS2IJRiNoiFnp0t3LCFNZYF71zkecujMgb_IdBiadymwzMRwmA-5Bzdw-6wKLAGUcs74bg=w408-h306-k-no,"MC8P+M94, Bhaktapur 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=Bijay%20Coffee%20Shop&query_place_id=ChIJNchGE6sa6zkR9m5t7s5fGa4
Bijen Ko Pasal,Coffee shop,Coffee shop,"MCF3+2R3, Bhaktapur 44800, Nepal",Bhaktapur,27.6724194,85.4043218,5,10,0,0,0,3,7,63,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,20,ChIJoz9cSwAb6zkRRFILfy3Bb1M,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ajMy2gYh90G1PU7GEPE5MQ&cb_client=search.gws-prod.gps&w=408&h=240&yaw=70.3668&pitch=0&thumbfov=100,"MCF3+2R3, Bhaktapur 44800, Nepal",,https://www.google.com/maps/search/?api=1&query=Bijen%20Ko%20Pasal&query_place_id=ChIJoz9cSwAb6zkRRFILfy3Bb1M
